1,2,3,4,5,6,7,8
16.04.24,8.03,3.37,12.55,3.25,84.19,14.42,9050580563.0
02.05.24,8.11,3.36,12.84,3.14,83.66,14.61,9479057329.0
03.05.24,7.9,3.35,12.41,3.57,84.49,14.62,4631225475.0
06.05.24,7.92,3.34,12.42,3.64,83.97,14.63,4714430718.0
07.05.24,8.11,3.36,12.95,3.14,83.48,14.61,7714700313.0
08.05.24,7.92,3.34,12.4,3.67,84.39,14.6,4718824321.0
10.05.24,8.1,3.36,12.94,3.14,83.53,14.56,608937448.0
13.05.24,8.02,3.37,12.88,3.41,83.58,14.78,8430361677.0
14.05.24,7.9,3.36,12.78,3.75,83.85,15.0,18314159073.0
15.05.24,7.85,3.35,12.63,3.82,83.56,14.87,16195996120.0
16.05.24,8.15,3.57,13.14,3.39,83.15,15.02,5812084166.0
17.05.24,8.15,3.57,13.15,3.4,83.08,15.05,10139038815.0
20.05.24,8.09,3.56,13.12,3.56,83.27,15.05,8359793710.0
21.05.24,8.02,3.65,13.15,3.59,82.84,15.0,8315831397.0
22.05.24,8.17,3.55,13.33,3.43,82.51,15.17,8438175064.0
27.09.24,8.55,3.8,16.47,3.12,76.55,15.13,10639637510.0
15.01.25,8.0,4.04,14.9,4.57,78.18,15.26,12503854985.0
16.01.25,8.16,4.08,15.19,4.62,78.47,15.3,14590977429.0
17.01.25,8.2,4.1,15.43,4.47,78.38,15.51,12507069300.0
21.01.25,8.11,4.06,15.27,4.46,77.55,15.33,11948924615.0
24.01.25,8.23,4.08,15.36,4.71,78.07,15.63,10997460837.0
31.01.25,7.65,2.67,15.04,3.8,71.73,14.02,12713117620.0
